Id,SalePrice
1461,114485.99170707399
1462,160354.9468138513
1463,166839.83151856432
1464,190550.0440593045
1465,186128.87782965053
1466,170310.84766378527
1467,190673.06522503437
1468,165239.17744942592
1469,189675.4904709454
1470,117824.07816329993
1471,186806.1880522593
1472,104525.05091129149
1473,98253.09555468819
1474,146407.2440904546
1475,118650.62614036445
1476,342625.86696710665
1477,238228.44706567255
1478,288454.26957620797
1479,279460.0431127215
1480,468010.7980381453
1481,301350.8483613689
1482,202142.64010059592
1483,172846.71742515714
1484,165083.67456453224
1485,196668.660182974
1486,197617.50411606763
1487,313757.95026223647
1488,231012.0822306673
1489,180976.799187296
1490,226239.70164839915
1491,196481.12051832973
1492,87181.52984100718
1493,196160.9619260204
1494,289257.658825945
1495,276323.7055349655
1496,218509.22504975862
1497,170322.58306010376
1498,160072.73862103702
1499,159297.04049351384
1500,158314.87069835485
1501,165045.382452535
1502,153208.18053958198
1503,283698.70265086624
1504,244870.7353714094
1505,222885.28877532596
1506,198895.3970919139
1507,242742.1514490406
1508,196855.08815849954
1509,156152.09394399
1510,137343.28627170745
1511,150253.49785751785
1512,177685.35605410882
1513,155955.25386210243
1514,143881.0689093224
1515,186737.6561757171
1516,152643.04272822355
1517,157463.5358306804
1518,133291.44615586687
1519,209890.17547307926
1520,128041.15044029294
1521,120983.43524533391
1522,184075.76461360915
1523,102345.4458478006
1524,118867.98359128332
1525,111504.46851850532
1526,101021.85375804173
1527,103847.53720901241
1528,146798.12372768
1529,134770.35671620548
1530,195074.48268394696
1531,119843.97943304863
1532,107445.26298510114
1533,154558.24839412307
1534,131387.4011436713
1535,144996.01518229514
1536,112654.0529514012
1537,61233.36304097994
1538,135659.5418762215
1539,202992.96530059585
1540,89946.16961792743
1541,134149.68277821323
1542,132962.3801328052
1543,157121.33316161827
1544,89452.86446847316
1545,108331.95162764554
1546,137746.6297819668
1547,126637.51683729996
1548,129253.88946972975
1549,112912.07406990108
1550,127028.6809460034
1551,121572.91398261624
1552,129932.47780163812
1553,135219.0219003989
1554,120305.98309206656
1555,156272.93275748403
1556,84843.75493889533
1557,91016.91906227036
1558,106728.36038713074
1559,75408.07984499879
1560,134869.32745226458
1561,117272.20717558394
1562,133349.37668939395
1563,117859.14180584365
1564,154110.14241770934
1565,130158.13545118946
1566,229983.15859905528
1567,81712.74130670192
1568,230405.78407616031
1569,117269.18752242743
1570,147257.54639815388
1571,114115.30165069568
1572,139421.68646213444
1573,224528.59420514855
1574,118217.49745246944
1575,223783.5964575877
1576,258035.25177774622
1577,182656.81110833137
1578,140463.2406594083
1579,131004.59919393499
1580,197613.54641817024
1581,160809.4973259348
1582,128084.75131426066
1583,300963.44235808065
1584,218675.790185844
1585,144378.42778368326
1586,70729.77096917921
1587,104823.69330599614
1588,148457.43696190184
1589,94144.6839711915
1590,137327.79855682244
1591,90338.20110934161
1592,112898.37232879268
1593,132628.0550769327
1594,125847.11115437066
1595,103370.83974379812
1596,197550.37532988598
1597,159027.25315301368
1598,198538.3089897295
1599,176211.90370943793
1600,175839.06028144874
1601,70034.67937619067
1602,117571.29978034724
1603,77695.6689748398
1604,261757.48024613288
1605,252908.97265851274
1606,169807.17198178003
1607,182745.93413016445
1608,227288.64245975562
1609,181417.03825494793
1610,147496.7813244523
1611,132463.77393592463
1612,170314.52250197044
1613,168794.4248238961
1614,140891.3825541257
1615,98268.85053494977
1616,82374.47517914983
1617,97209.0859761253
1618,119246.64870439416
1619,144251.3605604333
1620,157361.19078687302
1621,131273.8328984387
1622,152641.07750938242
1623,267701.7503642171
1624,210271.84176750682
1625,115005.08963673674
1626,175056.75170213744
1627,186278.73208084516
1628,277783.0864344981
1629,170131.52669313288
1630,314930.3999029933
1631,215729.35157324467
1632,220919.8988756234
1633,177223.59935005434
1634,186997.04303864593
1635,184298.3199850847
1636,160263.75159221658
1637,204928.5505331253
1638,195559.71540558402
1639,180255.13822917832
1640,260461.36346003212
1641,176797.2667255871
1642,234116.67534262102
1643,220284.46198749932
1644,221488.37671318534
1645,242900.14228981637
1646,168852.26530982368
